,Shared topic 1,Shared topic 2,Shared topic 3,Shared topic 5
Car2,0.44187683,-0.32606035,-0.71411824,0.7189587
Armc1,0.043973766,-0.0012903495,0.10345584,-0.0062473505
Pde7a,-0.038555134,-0.051011194,0.030570969,-0.01225679
Cp,-0.15106066,0.046226446,0.04661871,-0.04704163
Hltf,0.022717113,0.03767026,0.07919442,-0.06821916
Mynn,-0.037624694,-0.027232816,0.051267892,-0.005546917
Skil,-0.03690596,0.022644838,0.019084895,-0.040549044
Zmat3,0.04867313,-0.15043129,-0.054181565,0.08758941
Pik3ca,-0.19868262,-0.015904449,0.026089724,0.067991026
Fxr1,0.012109016,-0.059169296,0.11683303,-0.053208828
Atp11b,-0.030088779,0.107606456,0.13538925,-0.12564954
Dcun1d1,-0.07133261,-0.14893706,-0.037048947,0.15208197
Anxa5,-0.0973237,0.119265296,-0.026832277,-0.05406357
Ccna2,0.0050979145,-0.11229673,-0.16162768,0.47435045
4932438A13Rik,-0.09994898,0.052551597,-0.03884649,-0.07129753
Ankrd50,-0.00329775,-0.16612603,-0.0854545,0.004478192
Pgrmc2,-0.08266189,0.15637286,0.0013030882,-0.070777416
Slc7a11,-0.088247724,-0.036052,0.14274481,-0.113091454
Elf2,-0.12839364,-0.056670327,0.035112455,-0.02718643
Setd7,-0.11334572,0.08052279,0.09945794,-0.02188022
Foxo1,0.014412814,-0.0034127529,-0.009532779,-0.060457364
Nhlrc3,0.114134915,0.17996497,0.032275163,-0.15333459
Exosc8,0.05299767,-0.023412803,-0.0446445,0.046200257
Alg5,-0.030146208,-0.07495647,0.13515188,0.06362962
Rfxap,-0.058564413,0.062054284,-0.013468871,0.0075786635
Dclk1,-0.12879287,0.17892769,0.19010612,-0.2594568
Tm4sf1,0.013107922,-0.06665482,-0.14259401,0.07320231
Rnf13,-0.12991941,0.077706955,0.08603715,0.0803328
Tsc22d2,0.054751605,-0.07197776,0.03831559,0.009945674
Eif2a,-0.14258486,-0.013574999,0.16435942,-0.090968676
Selenot,0.13075176,-0.07453275,-0.1147636,0.082396604
Gpr171,-0.18223353,0.022857243,0.18449134,-0.12511028
P2ry13,-0.0016837404,0.107270114,0.05034422,-0.08475897
Dhx36,-0.022533331,0.015509876,-0.09298946,-0.03836273
Ccnl1,-0.012422729,0.03779352,0.00013791211,0.062507704
Ift80,-0.09722302,0.3222185,0.025120929,0.019805726
Smc4,0.038081914,0.11101603,0.023041917,0.09945884
Kpna4,-0.14067593,0.14930351,0.105386086,-0.018802673
Pdcd10,-0.06697479,0.09101959,0.029763121,0.03176327
Lrat,-0.2024084,0.08199589,0.18686274,-0.059569415
Tmem131l,0.13362207,-0.19183348,-0.13388565,-0.003265172
Tmem154,-0.10606282,0.10982947,0.13898829,-0.14182223
Cd1d1,0.044724744,-0.12436885,-0.11909984,0.060000304
Fcrl1,0.011463799,-0.27191326,0.11121539,-0.071373135
Sh2d2a,0.032251216,-0.06430819,0.005530555,-0.07703788
Hdgf,0.08792736,-0.015713166,-0.024701294,-0.00051215757
Cct3,0.011793872,0.063141786,0.040006164,-0.076654404
Slc25a44,0.03679669,0.04314033,-0.08611204,0.005036801
Ssr2,-0.00069963746,0.123011455,0.08291361,-0.09690185
Arhgef2,0.053689305,-0.041286882,-0.057394058,0.0054415474
Fam189b,-0.10047449,0.10767875,-0.08657902,-0.031611484
Dpm3,0.036248825,0.04123936,0.011599479,-0.085851826
Adam15,0.11822154,-0.08907376,-0.16825123,-0.008233819
Zbtb7b,-0.056386445,0.085563146,0.008230516,-0.07031
Adar,0.0077484846,-0.12588243,-0.038365327,0.009862218
Atp8b2,0.038348626,-0.031280134,-0.016509358,0.026917834
Hax1,-0.08768139,-0.0029215335,-0.05901941,0.00612846
Ubap2l,0.06192704,-0.08094056,0.0076603536,-0.03597528
4933434E20Rik,0.024308339,0.069674395,0.078196526,-0.048592173
1700094D03Rik,0.034873262,0.022560729,-0.0040647695,-0.012015672
Tpm3,0.04733411,0.049653683,0.0005395338,-0.059033997
Crtc2,-0.035335407,-0.07027642,0.110047385,-0.06252982
Dennd4b,-0.014469392,-0.10175898,-0.0026696315,-0.048137434
Gatad2b,0.04617592,0.09540881,0.13376112,-0.2331413
Ilf2,0.039842054,0.0418963,0.013739377,0.00053216587
S100a13,-0.017941149,0.081764676,-0.023629788,0.120205864
S100a16,-0.1292553,-0.16847524,0.030744487,0.07998875
S100a4,-0.01637199,0.048495185,-0.08851978,-0.21723643
S100a6,-0.019578528,0.012208923,-0.11140536,0.09398712
S100a9,0.019942516,-0.15854476,-0.22456631,0.38326293
S100a10,-0.14670518,0.16033253,0.04923216,-0.10596343
Pogz,-0.11150852,-0.07766139,-0.0120552145,0.031006979
Psmb4,0.056363404,0.070157595,0.018759958,-0.17794722
Pip5k1a,-0.0776626,0.057128716,0.0439611,-0.031219237
Cdc42se1,0.09801159,-0.02364159,-0.06370134,0.0025735283
Setdb1,-0.1847678,0.06194189,0.15025972,-0.11992309
Adamtsl4,-0.03165171,-0.01754333,-0.103870295,0.099025026
Tars2,0.04262475,-0.02248794,0.05852187,-0.078424
BC028528,-0.04259167,-0.05970177,0.16374002,-0.0987543
Anp32e,0.0013852873,-0.06236693,-0.037226103,0.048729047
Plekho1,0.0045160726,-0.011399797,0.07269654,-0.07898366
Rbm8a,-0.17283507,0.22604637,0.090163276,-0.056846723
Polr3c,-0.043182608,0.061386302,0.025154624,0.047406096
Gpr89,-0.118767686,-0.029584069,0.0784962,-0.073784575
Acp6,-0.04201222,0.007851399,0.07517645,-0.09050015
Pde4dip,-0.10399597,0.006308844,0.035254214,0.048995778
Phgdh,-0.016284607,0.035968587,0.1341631,0.006918402
Tent5c,0.21479486,-0.2247388,-0.5648494,0.72601545
Cd2,0.13952653,0.061884027,-0.042694543,-0.13212128
Atp1a1,0.03396427,-0.028777834,-0.12021025,0.006013997
Slc16a1,-0.03228611,-0.028722277,-0.29357195,0.5423881
Mov10,-0.026514012,0.09253717,0.06857096,-0.036783993
Capza1,0.1160559,0.030222356,-0.010203813,-0.074143276
Ddx20,0.050964873,-0.07467189,-0.06003985,0.0469911
Rap1a,0.12856348,-0.092404276,-0.0023091196,0.00062513375
Atp5f1,0.010358097,-0.012395971,0.17830098,-0.055971414
Cept1,0.014242336,0.0097109685,0.08687721,-0.045651015
Cd53,0.13659067,-0.0626701,-0.0027984027,-0.011296844
Lamtor5,-0.13757421,0.03254196,0.072928704,-0.003936691
Strip1,0.009522462,0.0020444908,-0.0024396032,-0.04305715
Psma5,-0.05333267,0.2483566,0.1845304,-0.06802009
Prmt6,-0.08448309,0.14213799,0.065181755,-0.040335637
S1pr1,-0.021883285,-0.03376717,0.013572761,-0.0130419275
Slc30a7,0.14372827,0.047853798,-0.08604924,-0.06051754
Dbt,0.028710494,0.08788411,0.070401065,-0.00014678668
Mfsd14a,-0.13484165,0.014790307,-0.0043031555,-0.022310765
Slc35a3,-0.0062174834,-0.0019300445,-0.039836403,0.056069665
Abcd3,0.012585564,0.002979362,-0.053912714,-0.025189478
Gclm,0.06473406,-0.20511125,-0.27126074,0.61785877
Gm4610,-0.100641266,0.07610725,0.08673317,-0.1532144
Synpo2,-0.010733143,0.07778817,-0.15036292,0.12356582
Tifa,0.07807821,-0.15027381,-0.15307614,0.18492694
Ap1ar,-0.11216525,0.06171551,0.047235858,-0.019143814
Fam241a,-0.031491086,-0.037959367,-0.0623345,0.14296469
Lef1,0.05889005,0.29140893,-0.10476622,-0.10645072
Hadh,-0.032540847,0.11265801,0.01791939,-0.028733872
Aimp1,0.0059873876,0.0058122813,0.17425048,-0.21302088
Ppa2,-0.0849656,0.06464236,0.14035152,-0.088757
Ube2d3,0.010631064,0.012060992,0.0008248098,-0.0058621974
Nfkb1,-0.122273326,0.0029478758,0.10338141,-0.05938491
Ppp3ca,-0.19061437,0.08829144,0.28937003,-0.117615074
Dnajb14,-0.012318975,-0.043657344,-0.046281487,0.0036853096
Adh5,-0.07019853,0.12718628,0.21365565,-0.05519905
Metap1,-0.04719693,-0.05884759,-0.015721738,0.078742675
Rap1gds1,0.008077281,0.008094466,-0.017210256,-0.03786638
Gbp7,0.009994604,0.14301005,-0.0690252,-0.058033854
Gbp2,-0.12021529,0.27304703,-0.02214088,0.15009476
Pkn2,0.028364398,-0.07936444,0.05682222,0.15027861
Lmo4,-0.23888081,0.20754115,0.14732598,-0.19690236
Hs2st1,0.014688987,-0.0051609306,0.058744982,-0.005131825
Selenof,0.04335238,0.060644325,-0.011996975,-0.017028105
2410004B18Rik,-0.14299703,0.03188789,0.009469842,0.11270061
Mcoln2,-0.10610375,-0.07338358,-0.0025335734,0.08887585
Miga1,0.029400276,-0.037738953,-0.009226846,0.012637892
Usp33,-0.012067077,-0.028026314,-0.06590404,0.029054845
Pigk,0.031134512,0.09778999,-0.0056191697,-0.033948474
Acadm,-0.066777274,-0.006273521,-0.13288505,0.05148571
Wls,-0.047946353,-0.019150348,-0.06516287,0.03314833
Gm11808,-0.035572603,0.038456596,0.17029911,-0.1426809
Impad1,-0.026275497,-0.020487454,0.21040039,-0.025247054
Nsmaf,0.012465791,-0.06422735,0.08127288,-0.08457558
Tox,0.01100106,0.1447323,-0.04974103,-0.09774511
Asph,0.048718613,-0.18389332,-0.15351711,0.07744922
Dpy19l4,-0.03552754,-0.10341218,0.058624133,0.037573215
Virma,0.01728688,-0.007342124,-0.052413903,-0.081194535
Rbm12b1,-0.012032726,-0.025919165,-0.039086457,0.046111614
Tmem64,-0.05247698,0.05766262,0.026209999,-0.018158684
Ndufaf4,-0.107394256,0.040004812,0.0284126,-0.007956713
Pnrc1,-0.09502688,0.106182486,0.004738279,0.0005643023
Zfp292,-0.035898868,-0.0006485068,-0.00025857426,-0.059489213
Dnaja1,-0.041351482,0.042909145,-0.020983376,-0.012435602
Chmp5,-0.12220589,0.067111045,0.14127634,-0.1485946
Ube2r2,-0.1947407,0.16279365,0.08052935,0.2177318
Ubap1,0.0587624,0.06334417,-0.009600155,-0.027913429
Sigmar1,-0.042467717,-0.052228805,-0.009774311,0.07220341
Galt,-0.044364285,0.055021454,0.06936316,-0.03991039
Ccl19,0.07957499,0.21356906,-0.15218382,-0.13615204
Ccl21a,0.53152347,-0.03853406,-0.37078166,0.010986634
Vcp,0.010868715,0.17564823,0.07738404,-0.11082695
Tesk1,-0.14398825,0.12638225,0.090077385,-0.04327373
Ccdc107,-0.045036152,0.0059225485,-0.12959653,0.087438054
Tln1,0.082199134,-0.04752553,-0.019816313,-0.032013126
Gba2,-0.07704572,0.048348993,0.020775922,-0.0736675
Glipr2,-0.24512762,0.34161416,0.09880114,0.029839085
Clta,-0.015057516,-0.0035830478,0.043718833,0.0073655536
Grhpr,-0.028747685,0.06843438,0.0051136645,-0.05927561
Tstd2,-0.0061402037,-0.06664802,0.00230026,0.0048363996
Hemgn,0.04141841,-0.21400298,-0.20890193,0.490464
Coro2a,-0.047443382,0.054449454,0.06317806,-0.05592859
Tgfbr1,-0.09742177,0.13779314,0.07543689,-0.117531836
Erp44,0.05400046,-0.09529535,-0.0591919,0.026850611
Invs,-0.06099417,0.02659093,0.0548007,-0.011658819
Nipsnap3b,0.020900885,0.0047018058,-0.05702596,0.014781556
Txn1,-0.0077667735,0.10573752,0.06166261,-0.024966711
Svep1,-0.006259113,-0.039258588,-0.104688495,0.09568713
Lpar1,-0.047049858,-0.03882641,0.2326133,-0.1374135
Ecpas,-0.03909467,-0.06667035,0.044737235,-0.056161158
Ptbp3,0.042702198,-0.0111424625,0.013648762,0.047956597
Snx30,0.06345874,-0.06639976,0.14387728,-0.034682993
Slc31a2,-0.11158139,0.07025058,0.08478446,-0.05867257
Alad,-0.024103478,-0.07063025,-0.10256087,0.2778895
Akna,0.07863066,0.039741673,0.04169508,-0.100017406
Atp6v1g1,-0.094114035,0.044309236,0.023541868,-0.046739254
Astn2,-0.024984783,-0.008578902,-0.0623568,0.06981683
Dmac1,0.049303215,0.07572088,0.09390655,-0.09872151
Klhl9,-0.079260364,-0.105365634,-0.10809367,0.087169364
Mtap,-0.053318296,-0.04659054,0.07147288,-0.01623124
Pgm1,-0.20069721,0.16063814,0.060302906,0.027103832
Pde4b,-0.067755364,0.120051004,0.03857734,-0.012987878
Mier1,0.04001547,-0.013685904,-0.0071706837,-0.005611592
Tceanc2,0.0034255516,-0.0047987252,0.02486134,0.010176208
Tmem59,0.054747723,-0.011046146,-0.10009846,0.0058915224
Ndc1,-0.02242661,0.000493459,-0.04545446,0.053630292
Lrp8,-0.08292534,0.10329536,0.03683447,-0.060855754
Scp2,-0.027542915,0.15819775,0.030164996,-0.052689023
Kti12,-0.17124902,-0.012717181,0.22768238,-0.0837979
Osbpl9,0.11007716,0.061881103,-0.015993407,-0.071539745
Eps15,0.08628718,-0.024769252,-0.06379466,-0.07796615
Faf1,0.022162644,-0.056283075,0.057378627,-0.009247465
Bend5,-0.114137076,-0.030225707,0.10599549,0.05550946
Cmpk1,-0.13361993,-0.0023618347,0.08468035,-0.06377394
Pdzk1ip1,0.16696693,-0.18949944,-0.53488076,0.73853767
Efcab14,-0.049053296,0.0053246785,0.070017636,-0.080408484
Mob3c,-0.12358202,0.0069218767,0.016329048,0.11721325
Nsun4,-0.09200238,0.0950046,0.089714505,-0.09315801
Uqcrh,-0.007062099,-0.022635993,0.029709378,-0.022592943
Lrrc41,0.04344313,0.04792143,-0.048264362,-0.06586239
Pomgnt1,-0.1269623,0.03566668,0.0726966,-0.008658547
Nasp,-0.14206368,0.09584514,0.05012083,-0.11036396
Akr1a1,0.03961986,0.0094247535,0.06692996,-0.20232376
Hectd3,0.012579193,0.043622687,0.0012944103,0.0042246412
Eif2b3,0.12258991,-0.047845237,0.013420597,-0.029927775
Btbd19,0.06249945,-0.03756089,0.0036689052,-0.09574886
Dmap1,0.00854186,-0.069661714,-0.05029375,0.028955376
Slc6a9,0.041837323,-0.14048404,-0.36863106,0.61660457
Dph2,-0.04881705,0.06914716,0.053202268,-0.0072305836
St3gal3,-0.110782385,0.03230774,0.063802294,-0.04192915
Elovl1,-0.018411165,0.05418279,-0.0058932547,-0.07324512
Ebna1bp2,-0.07151599,0.004341237,-0.000316062,-0.009360628
Ermap,-0.058341037,-0.23230131,-0.34333992,0.75337464
Ybx1,-0.24845839,0.14515686,0.35643053,-0.23179945
Hivep3,0.07548432,0.0028938698,0.01024528,-0.08344278
Zmpste24,-0.07380144,0.13713516,0.19535732,-0.121647924
Rlf,0.051260088,0.011533914,-0.018503278,-0.0048783626
Trit1,-0.017935779,-0.03069687,-0.023583453,-0.06775438
Akirin1,-0.063400276,0.07093464,0.12946108,-0.11265747
Rragc,-0.028743835,0.005005861,0.02031477,-0.031733375
Yrdc,0.051142212,-0.049626287,0.06473455,-0.0746429
Mrps15,-0.12673332,0.11535731,0.09833938,-0.012980483
Map7d1,-0.06779425,-0.085915394,-0.074795015,0.048619177
Ncdn,0.014181435,0.062072203,0.0076892865,-0.041667223
Gja4,0.09752923,0.09158623,0.020082671,-0.21793377
Zscan20,0.046326194,-0.12994562,-0.01625046,0.02222764
Ak2,-0.034702815,-0.03158281,0.01952586,0.05962812
Zbtb8os,0.02398539,-0.079231046,0.020970609,0.0013457965
Bsdc1,0.04204885,-0.15739536,-0.32424453,0.6491453
Marcksl1,-0.0226367,-0.018055595,0.027286923,-0.05931596
Hdac1,-0.026652377,-0.08500395,0.14301606,0.0011616339
Tmem234,-0.048464015,0.21139486,0.16879489,-0.11973266
Ccdc28b,0.040923078,-0.14746435,0.005716225,0.019538812
Khdrbs1,0.013208969,0.099750385,0.042513322,-0.009756979
Ptp4a2,-0.016663,0.037810124,0.12962392,-0.17032266
Zcchc17,0.08604987,-0.056821093,-0.022161577,-0.10978021
Snrnp40,-0.049906734,0.035391714,0.0062575247,0.031027498
Laptm5,0.45245534,-0.121713474,-0.28002405,0.033885863
Taf12,-0.05323416,0.008269546,0.10827944,0.10131337
Snhg12,-0.13290179,0.12568569,0.22960147,-0.09899446
Trnau1ap,0.04840871,-0.12485992,-0.11821969,0.10514889
Atpif1,-0.10278614,-0.10254712,-0.11544119,0.4086662
Themis2,-0.06812717,-0.069453806,0.103261806,-0.071759604
Fam76a,-0.040109772,0.056469794,0.008609228,0.027949173
Wasf2,-0.14004277,-0.019022798,0.012944705,0.03834328
Wdtc1,-0.021390762,0.039350096,-0.05843424,-0.036349136
Slc9a1,-0.026975561,-0.003202021,0.04517375,-0.027845528
Nudc,-0.11943947,0.11047832,0.14787267,-0.04975236
Dhdds,-0.06096107,0.12461144,0.017621603,0.04364159
Cd52,0.29964626,-0.110068455,-0.07886648,-0.028521067
Sh3bgrl3,0.24627484,-0.13118403,-0.13025135,0.089268915
Zfp593,-0.025302337,-0.009844421,-0.04295539,-0.0030987617
Stmn1,0.02832835,-0.06332624,-0.10550657,0.17333108
Selenon,-0.021384273,-0.0066929962,-0.05662747,-0.0060629286
Ldlrap1,-0.12878738,0.03255482,-0.107680365,0.13976899
Maco1,-0.13092452,0.022080937,0.10128115,-0.08694962
Rhd,0.08580667,-0.22813448,-0.6133083,0.89910686
Tmem50a,0.037403338,0.1481614,0.019374417,-0.056290984
Syf2,0.15002285,-0.14299756,-0.12349159,0.08219051
Runx3,-0.112173855,0.13243283,0.101559676,-0.08778302
Pnrc2,-0.17227493,-0.024884198,0.15022755,0.023272052
Cnr2,-0.15228634,-0.027614202,0.41853374,-0.16490188
Hnrnpr,-0.010446822,-0.037060484,0.16011763,0.0036770604
C1qc,0.29921874,-0.042768072,-0.39337537,0.22376153
Cdc42,0.119661964,-0.048721887,-0.035765972,-0.036272466
Eif4g3,-0.081326805,0.042979218,0.081534654,-0.118754886
Pla2g2d,0.033098537,-0.007970665,-0.0038562147,-0.13436939
Micos10,0.0057720644,-0.07469015,0.009510963,0.03091456
Capzb,-0.014567379,0.060635705,0.10370115,-0.17274344
Akr7a5,0.061097767,-0.14811917,0.069084466,0.005052518
Emc1,-0.0005906839,0.0025510993,-0.061274983,-0.019053096
Necap2,0.0057762377,0.009178951,0.024572218,-0.0050496478
Szrd1,-0.117993735,0.042692695,0.041117027,-0.018451905
Spen,-0.1621062,0.06442894,0.11043529,0.05359802
Tmem51,-0.14772289,-0.012835607,-0.0046584737,0.018233914
Kazn,0.044492815,-0.100536175,-0.028908322,0.0028895568
Pramef8,0.09044273,-0.0717783,0.0585205,-0.09420148
Tnfrsf1b,0.044375766,0.047541417,-0.089292206,0.00094491034
Zfp992,-0.05306957,-0.061150085,-0.052317597,-0.018509392
Miip,-0.043796103,-0.05458454,-0.06074074,0.118195
Clcn6,-0.052539684,-0.15175845,-0.051140554,0.02979767
Pgd,-0.0022368734,-0.14612658,-0.0028666323,0.035095032
Ube4b,-0.08991503,0.0056892717,0.12846172,0.09126281
Lzic,-0.08065802,0.07905039,0.12517789,-0.04005634
Clstn1,-0.009502033,-0.06588661,-0.019593338,0.019189516
H6pd,-0.04888559,0.12801148,-0.03452684,-0.05868952
Rere,0.10413816,-0.031061778,0.035855994,-0.019580614
Park7,0.0013838131,-0.097409695,-0.031032706,0.013258435
Tnfrsf9,-0.026899239,0.24863447,-0.0605316,-0.046546187
Dnajc11,-0.04080954,-0.07047379,0.022349106,0.05099384
Klhl21,-0.04614063,-0.086390465,-0.005371473,0.025647048
Tnfrsf25,0.02950259,-0.00073385413,-0.076740146,-0.0058017923
Kcnab2,0.044321395,0.02856372,-0.06755713,-0.0063407877
A430005L14Rik,-0.004797031,0.0019633,0.072921626,-0.07983388
Tprgl,-0.12502797,-0.06836359,-0.04572294,0.09836279
Nadk,-0.106571406,-0.017996592,0.09372548,0.0074653793
Slc35e2,0.019955017,-0.07282894,-0.016981803,-0.03147789
Ssu72,-0.07198506,-0.0196077,0.16784339,-0.21832618
Atad3a,0.042626254,-0.045695584,0.030195339,-0.025312377
Ube2j2,0.083563134,0.024656646,-0.059086666,-0.016789747
Sdf4,0.33039287,-0.10942052,-0.22359946,0.03437517
Tnfrsf4,0.02714719,0.15520923,0.010427883,0.0071837064
9430015G10Rik,-0.07115033,-0.030268768,0.048868753,-0.0978207
AW011738,-0.08805848,0.057989582,-0.011545589,0.07422778
Fam133b,-0.014961366,0.059955202,0.070129335,-0.046756413
Gatad1,-0.05569119,0.007665305,0.050183386,-0.06267687
Ankib1,0.0030952953,0.0036786953,0.049376115,-0.1067029
Cyp51,-0.06972914,-0.011893095,0.09762175,-0.08255224
Sri,0.18507877,0.11389984,-0.049361117,-0.006193136
Dmtf1,-0.11391769,0.06446559,0.04086586,0.0023589805
Rsbn1l,-0.01899585,-0.06639734,-0.020049652,0.0028662581
Gsap,0.024281155,0.066742875,-0.097462,-0.054965723
Armc10,-0.06194441,0.13323759,0.19892444,-0.12728126
Pmpcb,-0.021309119,0.1508847,0.018802848,-0.010651125
Dnajc2,-0.19605412,0.0681402,0.24503613,-0.10253489
Srpk2,-0.03501104,0.030966902,-0.048231773,-0.041319422
AI506816,-0.116605714,0.045420744,0.021327764,0.03548072
Tomm7,-0.035583023,0.09864423,0.18923831,-0.21928972
Cdk5,0.014345943,0.034586024,-0.05660107,0.008479193
Fastk,0.06885554,-0.0008075952,-0.018616568,-0.06558997
Agap3,0.036983654,-0.15640032,0.07157503,-0.06117635
Abcf2,-0.0661514,-0.016765049,0.021889534,0.0650556
Nub1,-0.076810084,0.06758087,-0.06088752,0.076991566
Insig1,-0.083920054,0.097813606,0.092612535,0.039962433
Rbm33,-0.079996556,-0.028304687,0.08016107,-0.05399351
Tmem214,-0.00036379788,-0.09533555,0.060562536,-0.087051995
Emilin1,-0.07171727,-0.0017129836,-0.06906826,-0.017848771
Khk,-0.0075241895,0.031929042,-0.1427263,0.072732046
Cad,-0.050166994,0.020222483,0.1847343,-0.15951926
Eif2b4,-0.048981346,0.054175097,-0.0065256516,-0.05799402
Krtcap3,-0.16562739,0.10252106,-0.0058768615,0.017382469
Ppp1cb,-0.23866658,0.005345601,-0.09304687,0.2093369
Pisd,-0.10864864,0.06872091,0.13751073,-0.06147557
Prr14l,-0.11062393,-0.011189798,0.02386007,0.034630794
Ywhah,0.020147454,-0.08567824,-0.054316618,0.13241741
Maea,-0.0032761628,-0.00864722,-0.11355589,0.033491615
Uvssa,-0.033987425,-0.11986749,-0.116868146,0.07932694
Slbp,-0.09334886,-0.047456514,-0.024612583,0.0056810537
Tacc3,-0.052437663,-0.05479775,-0.0041428944,0.17530578
Letm1,-6.312411e-05,0.074240506,0.18118475,-0.28571
Mxd4,-0.09673833,-0.040416144,0.039603576,-0.035791233
Nop14,-0.05584831,0.026276676,0.045856155,-0.07696744
Grpel1,-0.01210626,0.17127119,0.04636799,0.03179783
Tbc1d14,-0.05822442,-0.075154625,-0.021317445,-0.017832197
Mrfap1,-0.0027062844,0.01616569,0.066320814,0.0033441656
Man2b2,-0.11582261,0.07441564,0.091386035,-0.14378858
Lyar,-0.06441914,-0.14855039,0.12756608,-0.10765858
Tmem128,-0.12942044,0.15574753,-0.004487512,0.013116546
Bst1,-0.04342125,0.098481365,0.12787512,-0.07941384
Qdpr,0.12272446,-0.10664578,0.017625362,-0.02221625
Dhx15,0.03532127,0.0015372201,-0.01306905,-0.0070894808
Sod3,-0.021661244,0.13994499,0.069790184,-0.3207747
Anapc4,0.04729157,-0.006516883,0.08606856,-0.036049195
Stim2,-0.024653811,-0.06395081,-0.01220631,-0.0244037
Pgm2,-0.012943705,0.039179802,-0.06297302,-0.083439104
Tbc1d1,-0.098354235,0.106156915,0.0770211,-0.18053135
Lias,0.024029192,-0.04170078,0.031466547,0.025233768
Smim14,0.020257803,-0.059788942,0.044386048,-0.06826885
Apbb2,-0.06948222,0.02781804,-0.025628597,0.07688145
Guf1,-0.08133866,-0.030479882,0.0710011,-0.044980966
Commd8,0.025896441,0.11909846,-0.016432883,0.0071155755
Tec,-0.08316818,-0.06163932,0.08783907,-0.14040221
Slain2,-0.10612212,-0.0076806513,0.06255292,-0.022402104
Ociad1,0.041069727,-0.0044715297,-0.013675237,-0.035348147
Fip1l1,0.004914187,0.014546252,-0.01862458,0.06910217
Kit,0.016503546,-0.032554563,-0.07993931,-0.032978587
Cep135,0.045287523,0.11140061,0.029084885,-0.04575094
Ppat,-0.03781294,0.105781585,0.02287734,0.0051974924
Hopx,-0.14666653,0.08022611,0.08717392,-0.031520497
Igfbp7,0.35849103,-0.16231063,-0.25047022,0.07782731
Ythdc1,0.06389595,0.02315559,-0.010523433,-0.004478422
Jchain,0.30343997,-0.22642347,-0.4243148,0.2885968
Rufy3,-0.0473696,-0.042556107,-0.060974285,0.036971293
Mob1b,0.03992332,-0.12929253,0.006507842,0.054949977
Ankrd17,-0.07545307,-0.059650823,0.13069382,-0.06534078
Ppbp,0.29991487,-0.24768513,-0.37305093,0.42414117
G3bp2,0.011962093,0.06057419,0.03645242,0.0044534146
Naaa,-0.04453456,-0.14815453,-0.006852596,0.03563251
Sdad1,-0.07125788,-0.007311934,-0.019598516,-0.044146933
Cxcl9,0.010022826,0.12528014,0.013012539,-0.085088864
Cxcl10,0.025160428,0.037417714,-0.12347344,0.0145725645
Scarb2,0.27803776,-0.08995741,-0.20821172,-0.015533028
Stbd1,-0.03225159,-0.01296794,-0.1949834,0.2083053
Cxcl13,-0.0093130665,-0.2151917,0.28206623,-0.12931392
Cnot6l,-0.018195974,-0.039248798,-0.026089502,0.020088764
Anxa3,0.023009079,0.18037936,-0.06481143,-0.046443745
Bmp2k,-0.1292754,0.020618416,0.14748159,-0.0313916
Cops4,-0.093725316,-0.02395171,0.035313018,-0.051925693
Plac8,0.08289401,-0.17740637,-0.06978078,-0.06975576
Coq2,0.0407416,0.0009425784,0.020939022,-0.19105566
Gpat3,0.0046668025,-0.02049244,0.021077383,-0.024691934
Hsd17b11,0.16030735,-0.02142216,-0.054209534,0.040571813
Nudt9,-0.05947813,0.079517655,0.018721262,0.04464646
Sparcl1,0.10414974,-0.18226226,-0.49685207,0.4872498
D930016D06Rik,0.04852982,-0.01218784,0.024309617,-0.059793428
Gbp9,0.018293368,0.049267672,-0.060555246,-0.030832361
Gbp4,-0.017587105,0.13367315,-0.06011844,-0.026365105
Lrrc8d,-0.13976288,-0.098207556,0.084557146,0.024085348
Zfp326,-0.005894364,0.089301825,-0.08049293,0.15584536
Atp5k,0.05941429,-0.012259915,-0.11234483,0.03182946
Gak,0.060100503,-0.0086625945,-0.04096969,0.038930506
Dgkq,-0.044627737,0.068455935,-0.036579635,-0.07337345
Fgfrl1,-0.030716313,-0.027325517,-0.043116145,0.076164305
Ankle2,0.023276083,0.11726965,0.103710614,-0.076629534
Fbrsl1,0.10531571,-0.010079099,-0.14296067,-0.02295743
Pus1,0.055715088,-0.1614408,-0.024118766,0.02758829
Pitpnb,-0.007560977,-0.012606281,0.14035079,-0.087800555
Tfip11,0.06568846,0.043733988,0.032906882,-0.036937073
Hps4,-0.059759054,0.041806772,0.018528417,-0.059915088
2900026A02Rik,-0.044379298,-0.06681511,-0.009271948,-0.05628815
Sart3,0.055391032,7.730346e-05,-0.025370933,-0.06661678
Iscu,-0.06912958,0.08597562,0.039327964,0.018036768
Selplg,-0.14712138,0.3768214,-0.17525572,-0.057827357
Ssh1,0.0035914266,-0.102518775,0.026595255,0.0063461605
Usp30,0.13067928,-0.06913804,-0.11102476,-0.01983301
Alkbh2,-0.04247332,-0.03482438,0.09511234,0.059987746
Gltp,-0.028827734,0.06280116,0.028008342,-0.016893435
Tchp,0.062028904,0.015415192,-0.0066689607,0.03329676
Unc119b,-0.074423745,0.052582014,0.041542627,-0.053438377
Pop5,-0.0046643824,0.05282235,-0.00064793276,0.029468313
Rnf10,-0.0015697828,0.05700099,-0.06632975,0.07526837
Dynll1,0.113440044,-0.0686428,-0.038787827,0.021265779
Triap1,-0.005001624,-0.019713346,-0.021341112,0.0024538618
